Var1,Var2,value,Var3
garlic,onion,0.992559803,windmill
cello,violin,0.991612352,onion
cabbage,lettuce,0.983079552,violin
spinach,cucumber,0.975708235,saxophone
ginger,lemon,0.966604671,tongs
carrot,celery,0.947488448,xylophone
blender,spoon,0.933276503,folder
trumpet,saxophone,0.931193606,cucumber
guitar,harmonica,0.927233699,tortilla
broccoli,cantaloupe,0.925988911,harmonica
bacon,cheese,0.924356422,bucket
accordion,banjo,0.920450669,cheese
cauliflower,tomato,0.905606806,banjo
pelican,flamingo,0.905507734,tomato
grater,ladle,0.904034918,flamingo
banana,pineapple,0.895805127,boat
macaroni,tortilla,0.894321479,snake
cherries,melon,0.893490119,tile
coconut,mango,0.892935826,pigeon
paddle,boat,0.891492042,mango
sword,spear,0.889729697,cantaloupe
cymbals,drum,0.889320824,spear
bagel,fries,0.887821796,drum
elephant,giraffe,0.881719254,fries
blueberry,pear,0.87985533,giraffe
asparagus,plum,0.872900723,zebra
crab,squid,0.866067395,spoon
screw,clamp,0.864018003,squid
croissant,toast,0.854583627,clamp
leek,mushroom,0.846712178,jeans
bread,potato,0.84468753,screwdriver
duck,pigeon,0.843340957,potato
piano,xylophone,0.84306402,melon
dolphin,shark,0.842719461,tripod
sushi,pizza,0.840077243,kettle
clipboard,folder,0.831478443,pizza
fridge,kettle,0.828103217,shark
crocodile,snake,0.827475717,lettuce
cheetah,zebra,0.824983541,spaghetti
pumpkin,spaghetti,0.824777914,scarf
shoe,jeans,0.824156279,pineapple
camera,tripod,0.815485551,toast
fireplace,freezer,0.815356928,pear
deodorant,toothbrush,0.806058145,freezer
knife,tongs,0.801750982,battery
ashtray,cigar,0.790656409,ladle
brick,tile,0.789739984,cigar
wrench,screwdriver,0.788329556,celery
motorcycle,scooter,0.785026917,mushroom
bandage,elbow,0.777792001,scooter
brush,spatula,0.772796797,elbow
bubbles,sponge,0.769325563,spatula
truck,tire,0.768309941,sponge
rice,wheat,0.766961489,tire
beaver,moose,0.765250843,wheat
helmet,goggles,0.756493856,plunger
earrings,scarf,0.751622157,goggles
brooch,necklace,0.742486554,lemon
bottle,champagne,0.741851491,necklace
fountain,statue,0.73810603,champagne
cables,battery,0.735053163,moose
mixer,sink,0.729673105,statue
wolf,raccoon,0.720048178,sink
armadillo,gorilla,0.716310639,toothbrush
bull,lion,0.71425749,gorilla
eraser,pencil,0.70942845,lion
rake,bucket,0.702914224,pencil
candle,lamp,0.700732168,plum
chainsaw,hammer,0.689715174,lamp
drill,plunger,0.685561676,radish
scissors,tupperware,0.677564609,raccoon
cloud,moon,0.675443359,tupperware
spider,lizard,0.673476674,moon
lime,radish,0.666463407,lizard
peach,avocado,0.663403238,telescope
binoculars,telescope,0.653861831,avocado
rabbit,skunk,0.639625407,hammer
grapes,pistachio,0.628782128,skunk
chalk,sand,0.625349609,pistachio
barn,windmill,0.623506065,sand
