FILENAME,ModalName,Name_Agreement_Total,Name_Agreement_Responders,DKO,DKN,Category,Familiarity_Mean,Visual_Complexity_Mean,Objective_Agreement_Mean,Viewpoint_Mean,Manipulability_Mean,H-value
daffodil,flower,0.69047619,0.763157895,0,0.05,Natural element,3.857142857,2.523809524,3.25,3.3125,2.058823529,1.23500411
daisy,flower,0.428571429,0.461538462,0,0.02,Natural element,4.023809524,2.571428571,,,2.5,1.527824826
dalmatian,Dalmatian,0.714285714,0.714285714,0,0,Canine,4.547619048,3,4.0625,3.625,2.764705882,1.148834854
dandelion,dandelion,0.547619048,0.605263158,0.02,0.07,Natural element,4.119047619,2.785714286,3.7,2.5,2.121212121,1.325257119
dartboard,dart board,0.904761905,1,0,0.1,Gamestoy & entertainment,4.463414634,2.756097561,4.40625,4.28125,3.735294118,0
date,raisin,0.717948718,0.736842105,0,0.03,Food,4.128205128,2.179487179,,,1.470588235,1.400149137
dentalfloss03b,dental floss,0.461538462,0.5,0,0.05,Skincare & bathroom item,4.153846154,2.333333333,3.878787879,3.545454545,3.878787879,2.162204697
deodorant02a,deodorant,0.842105263,0.864864865,0,0.03,Skincare & bathroom item,4.540540541,2.135135135,3.65625,3.9375,4,0.831074987
desk02,desk,0.476190476,0.5,0,0.02,Furniture,4.523809524,2.595238095,,,2.264705882,2.410964047
desktopcomputer,computer,0.666666667,0.666666667,0,0,Electronic device & accessory,4.880952381,2.857142857,3.6875,3.8125,4.235294118,1.863375082
diaper01c,diaper,0.743589744,0.783783784,0.03,0.03,Clothing,3.564102564,2.41025641,3.8125,3.53125,2.625,1.347792586
diaperbag,Bag,0.357142857,0.365853659,0,0.02,Outdoor activity & sport item,4.19047619,2.166666667,,,2.617647059,3.108454458
dice05a,dice,0.897435897,0.972222222,0,0.03,Gamestoy & entertainment,4.487179487,2.289473684,4.34375,4.21875,3.375,0.183122068
dinosaurskull,Dinosaur skull,0.30952381,0.30952381,0,0,Bodypart,3.857142857,3.119047619,,,1.529411765,3.332505797
diploma01,Diploma,0.333333333,0.333333333,0,0,Stationary & school supply,4.452380952,1.80952381,,,1.764705882,3.257377021
diploma02,Diploma,0.523809524,0.55,0.02,0.02,Stationary & school supply,4.238095238,1.666666667,3,3.222222222,2.441176471,2.037712581
discoball,disco ball,0.928571429,0.928571429,0,0,Decoration & gift accessory,4.547619048,2.595238095,4.375,3.875,2.441176471,0.484443934
dishrack,Dish rack,0.19047619,0.380952381,0.24,0.21,Kitchen & utensil,3.282051282,2.634146341,,,2.1,1.880179923
dishsoap,dish soap,0.41025641,0.421052632,0,0.03,Household article & cleaner,4.435897436,2.282051282,4.121212121,4.242424242,2.212121212,2.662015342
divider02,divider,0.230769231,0.28125,0.03,0.13,Stationary & school supply,4.307692308,1.648648649,3.967741935,3.516129032,1.548387097,3.60018789
djmixer01,Turntable,0.195121951,0.242424242,0.07,0.07,Electronic device & accessory,3.731707317,3.317073171,,,3.666666667,4.173033892
djmixer02,Dj turntable,0.071428571,0.083333333,0.07,0.05,Electronic device & accessory,3.404761905,3.238095238,,,3.558823529,4.495906598
doghouse,Dog House,0.952380952,0.975609756,0,0,Building infrastructure,4.5,2.238095238,3.71875,3.59375,2.235294118,0.165427034
dogsled,Dog sled,0.547619048,0.58974359,0,0.07,Vehicle,3.761904762,3.285714286,3.388888889,3.388888889,2.588235294,2.14677522
doll,doll,0.756756757,0.777777778,0,0.03,Gamestoy & entertainment,3.722222222,3,3.181818182,2.424242424,2.151515152,1.076568743
dolly01,Dolly,0.261904762,0.611111111,0,0.31,Hand labour tool & accessory,4.243902439,2.048780488,,,3.235294118,2.055827901
dolphin01,dolphin,0.976190476,0.976190476,0,0,Sea mammal,4.476190476,2.833333333,4.40625,3.774193548,1.823529412,0.16232618
donotentersign,Do not enter Sign,0.30952381,0.325,0,0.02,Building infrastructure,4.5,1.428571429,,,1.941176471,3.050012688
donotwalksign,Do not walk Sign,0.119047619,0.119047619,0,0,Building infrastructure,4.80952381,2.357142857,,,2.794117647,4.603759911
donut,Doughnut,0.952380952,0.952380952,0,0,Food,4.738095238,1.714285714,3.875,3.6875,2.558823529,0.276195428
doorbolt,lock,0.357142857,0.428571429,0.02,0.14,Building material,4.023809524,2.5,,,2.441176471,2.540615619
doorhandle,Door handle,0.5,0.5,0,0,Building material,4.780487805,2.024390244,,,4.029411765,1.409047996
doorlock,lock,0.461538462,0.486486486,0,0.05,Building material,3.871794872,2.692307692,2.71875,2.75,3.060606061,1.969797005
doormat,Rug,0.285714286,0.292682927,0,0,Household article & cleaner,4.476190476,2.047619048,,,2.5,2.661714809
dormer,window,0.761904762,0.820512821,0,0.07,Building infrastructure,4.5,2.452380952,2.8125,3.125,2.558823529,1.182838116
doublebass,Cello,0.404761905,0.472222222,0,0,Musical instrument,4,2.785714286,,,4.088235294,2.350845326
doubledoors,Doors,0.523809524,0.55,0,0.05,Building infrastructure,4.452380952,2.214285714,2.888888889,3.777777778,3.088235294,1.991255318
downhillski,skis,0.833333333,0.833333333,0,0,Outdoor activity & sport item,4.166666667,2.047619048,3.9375,3.65625,3.970588235,1.070295861
dragonfly01,Dragon fly,0.69047619,0.763157895,0,0.05,Insect,4.119047619,3.261904762,4.03125,3.28125,1.735294118,1.382626228
dreamcatcher,dream catcher,0.904761905,0.926829268,0.02,0,Decoration & gift accessory,4.047619048,2.642857143,4.21875,4.4375,1.882352941,0.493619187
dresser02,Dresser,0.476190476,0.487804878,0,0,Furniture,4.547619048,2.19047619,,,2.823529412,2.33992336
drill01b,drill,0.421052632,0.470588235,0,0.11,Hand labour tool & accessory,3.918918919,3.25,4.333333333,4.03030303,3.28125,2.594672032
drillbit03a,drill bit,0.538461538,0.65625,0,0.15,Hand labour tool & accessory,3.282051282,2.538461538,4.21875,3.875,2.375,1.867541691
drink,drink,0.261904762,0.268292683,0,0.02,Food,4.095238095,1.904761905,,,3.058823529,3.416978278
drinkshaker,Martini shaker,0.095238095,0.166666667,0.19,0.21,Kitchen & utensil,3.463414634,2,,,2.676470588,3.240601563
dromedary,camel,0.976190476,0.976190476,0,0,Mammal,4.214285714,2.714285714,4,3.75,2.176470588,0.16232618
dropper01,dropper,0.461538462,0.72,0.08,0.23,Medical instrument & accessory,3.157894737,2.526315789,4.121212121,3.5625,3.0625,1.641510189
drum01,drum,0.461538462,0.514285714,0.03,0.05,Musical instrument,3.605263158,3.289473684,3.757575758,4.363636364,3.545454545,2.506039088
drumset,Drum set,0.642857143,0.642857143,0,0,Musical instrument,4.714285714,2.952380952,3.75,3.21875,4.294117647,1.287054028
drumstick,drum sticks,0.928571429,0.951219512,0,0.02,Musical instrument,4.547619048,1.571428571,3.90625,3.875,3.970588235,0.329974284
dryingmachine02,washing machine,0.5,0.5,0,0,Household article & cleaner,4.642857143,2.571428571,,,2.764705882,2.339015854
duck01,duck,0.80952381,0.80952381,0,0,Bird,4.30952381,3,3.84375,3.46875,1.852941176,0.999852861
ducttape,Duct tape,0.714285714,0.731707317,0.02,0,Hand labour tool & accessory,4.547619048,1.785714286,4.125,3.78125,2.970588235,1.181778398
dumpling,Dumpling,0.166666667,0.368421053,0.43,0.12,Food,2.394736842,2.5,,,1.52,3.1083757
dumpster,Dumpster,0.357142857,0.365853659,0.02,0,Building infrastructure,4.414634146,2.119047619,,,2.352941176,2.726147823
dumptruck,truck,0.5,0.5,0,0,Vehicle,4.5,3.214285714,,,2.382352941,1.494090419
dustpan,dust pan,0.58974359,0.821428571,0,0.21,Household article & cleaner,4.230769231,2.051282051,4.303030303,3.939393939,3.393939394,0.921754476
dvdcase01,DVD case,0.333333333,0.358974359,0.02,0.02,Electronic device & accessory,4.428571429,2,,,2.470588235,2.460695225
dvdplayer,DVD player,0.194444444,0.411764706,0.33,0.19,Electronic device & accessory,2.764705882,2.151515152,3.575757576,3.363636364,2.121212121,2.651793903
eagle,eagle,0.666666667,0.666666667,0,0,Bird,4.333333333,3.19047619,4.15625,2.375,1.970588235,1.609684082
ear,ear,0.833333333,0.833333333,0,0,Bodypart,4.952380952,2.428571429,4.40625,4.28125,3.882352941,0.650022422
earring01,earrings,0.891891892,1,0.11,0,Jewel & money,4.085714286,2.657142857,3.28125,3.15625,3.625,0
egg01a,egg,0.263157895,0.4,0.21,0.11,Food,3.277777778,1.555555556,3.212121212,2.96969697,2.575757576,2.230308333
eggnoodle,pasta,0.341463415,0.368421053,0,0.07,Food,4.243902439,1.926829268,,,2.212121212,2.85115366
eggplant,eggplant,0.820512821,0.888888889,0,0.03,Food,4,2.205128205,4.848484848,3.636363636,1.515151515,0.669925001
eggslicer,Egg slicer,0.19047619,0.258064516,0.19,0.05,Kitchen & utensil,3.292682927,2.536585366,,,2.029411765,3.63952252
eiffeltower,Eiffel tower,0.952380952,0.952380952,0,0,Building infrastructure,4.619047619,3.285714286,4.5625,4.375,1.823529412,0.323814475
elbow,elbow,0.857142857,0.857142857,0,0,Bodypart,4.904761905,1.880952381,4.09375,3.75,3.441176471,0.770476945
electricdrumset,Drum set,0.214285714,0.257142857,0,0.12,Musical instrument,3.785714286,3.142857143,,,3.264705882,3.092133733
electricguitar01,Electric Guitar,0.619047619,0.619047619,0,0,Musical instrument,4.5,2.642857143,4.125,2.90625,4.470588235,1.087203337
electricitymeter,Hydro meter,0.170731707,0.291666667,0.12,0.2,Building infrastructure,3.461538462,2.75,,,1.575757576,3.182817315
electricmixer,mixer,0.523809524,0.536585366,0,0.02,Kitchen & utensil,4.333333333,2.547619048,3.71875,3.625,2.470588235,2.702371929
electricoutlet,Electric outlet,0.261904762,0.282051282,0,0.07,Electronic device & accessory,4.785714286,1.69047619,,,3.588235294,2.994685288
electricrazor,electric razor,0.461538462,0.473684211,0,0,Skincare & bathroom item,3.692307692,3.128205128,4.1875,3.0625,3.65625,2.334502922
electrictoothbrush01c,Electric toothbrush,0.69047619,0.69047619,0,0,Skincare & bathroom item,4.5,2.19047619,4.09375,2.59375,3.735294118,1.247061951
electrictransformer,Transformer,0.071428571,0.214285714,0.33,0.26,Building infrastructure,3,2.625,,,1.5,3.4677201
ellipticalmachine,Elliptical machine,0.214285714,0.243243243,0,0.05,Outdoor activity & sport item,4.333333333,2.738095238,,,3.529411765,3.225043149
endive,endive,0.307692308,0.571428571,0.03,0.31,Food,3.657894737,2.108108108,3.807692308,3.296296296,1.555555556,2.248529327
englishcucumber,cucumber,0.880952381,0.880952381,0,0,Food,4.738095238,1.857142857,4.40625,4.1875,2.058823529,0.68982547
englishmuffin,english muffin,0.512820513,0.526315789,0,0.03,Food,4.128205128,2.358974359,3.8125,4.1875,1.8125,2.249287069
entrancegate,gate,0.69047619,0.707317073,0,0,Building infrastructure,4.476190476,2.380952381,3.53125,3.6875,2.382352941,1.640692886
envelope03a,envelope,1,1,0,0,Stationary & school supply,4.605263158,1.815789474,4.696969697,3.242424242,3.181818182,0
eraser,eraser,0.897435897,0.921052632,0,0.03,Stationary & school supply,4.333333333,1.871794872,3.848484848,4.151515152,3.303030303,0.470956314
escalator,Escalator,0.904761905,0.904761905,0,0,Building infrastructure,4.80952381,2.642857143,4.28125,4.21875,3,0.596573482
espressomachine,Espresso machine,0.404761905,0.53125,0.1,0.1,Kitchen & utensil,3.833333333,3.142857143,,,3.03030303,2.089426476
ethernetcable02,cable,0.230769231,0.25,0,0.05,Electronic device & accessory,3.948717949,2.564102564,3.875,3.65625,1.4375,3.213106336
exercisebench,exercise bench,0.205128205,0.266666667,0.05,0.15,Outdoor activity & sport item,3.342105263,2.631578947,3.848484848,3.575757576,2.303030303,3.440223929
exercisebike,Exercise bike,0.285714286,0.352941176,0,0.12,Outdoor activity & sport item,4.095238095,2.976190476,,,3.558823529,3.189541517
exercisemachine,exercise machine,0.380952381,0.421052632,0,0.05,Outdoor activity & sport item,4.12195122,3.097560976,,,3.735294118,2.975176777
exitsign,exit sign,0.952380952,0.952380952,0,0,Building infrastructure,4.857142857,1.642857143,4.125,4.064516129,2.264705882,0.323814475
expandablefolder03a,folder,0.411764706,0.466666667,0.03,0.03,Stationary & school supply,3.911764706,2.303030303,2.96875,3.1,1.666666667,2.796791632
expansioncard,motherboard,0.236842105,0.257142857,0,0.05,Electronic device & accessory,3.358974359,4.128205128,3.766666667,3.870967742,1.580645161,3.639598289
extensioncord,extension cord,0.421052632,0.432432432,0,0.03,Electronic device & accessory,4.128205128,2.358974359,4,3.757575758,2.454545455,3.080942893
eye,Eye,0.761904762,0.761904762,0,0,Bodypart,4.904761905,2.976190476,4.258064516,4.225806452,3.735294118,1.067282079
eyechart,eye chart,0.404761905,0.472222222,0,0.1,Medical instrument & accessory,4.5,2.30952381,,,2.941176471,2.920018243
eyedrops,eye drops,0.153846154,0.193548387,0.13,0.08,Medical instrument & accessory,3.25,2.277777778,3.333333333,3.606060606,2.909090909,3.772609521
eyepatch,Eye patch,0.833333333,0.921052632,0.02,0.07,Clothing,3.857142857,1.5,4.46875,3.96875,3.147058824,0.523587893
falcon,eagle,0.428571429,0.45,0.02,0.02,Bird,4,3.390243902,,,1.941176471,2.377235445
fan,fan,0.894736842,0.894736842,0,0,Electronic device & accessory,4.230769231,3.128205128,3.757575758,3.575757576,2.424242424,0.695987077
fanblades,fan,0.476190476,0.540540541,0,0.02,Electronic device & accessory,4.166666667,2.023809524,,,2.205882353,1.53102228
fanheater,fan,0.642857143,0.692307692,0.02,0.05,Electronic device & accessory,4.261904762,2.333333333,2.5,3.40625,2,1.644591885
faucet,faucet,0.571428571,0.648648649,0,0,Skincare & bathroom item,4.714285714,2.023809524,3.28125,3.65625,3.823529412,1.911099311
faxmachine,fax machine,0.619047619,0.619047619,0,0,Electronic device & accessory,4.404761905,2.833333333,3.709677419,3.387096774,2.647058824,1.755632716
feather03a,feather,0.948717949,1,0,0.03,Natural element,3.948717949,2.487179487,4.121212121,3.666666667,2.151515152,0
fence02,fence,0.595238095,0.609756098,0,0.02,Building infrastructure,4.380952381,2.238095238,3.129032258,3.483870968,1.941176471,1.665341828
fennec,Fox,0.404761905,0.53125,0,0.24,Canine,3.30952381,3.095238095,,,1.558823529,2.089426476
fern,Fern,0.5,0.525,0.02,0,Natural element,3.833333333,2.952380952,,,1.454545455,1.740472698
ferry,Ferry,0.30952381,0.30952381,0,0,Vehicle,4.095238095,3.547619048,,,1.852941176,2.854552608
fighterjet,plane,0.238095238,0.243902439,0,0.02,Vehicle,3.976190476,3.119047619,,,2.676470588,2.777364054
file,File,0.357142857,0.576923077,0.1,0.21,Hand labour tool & accessory,3.512195122,1.756097561,,,2.5,2.263584086
filingcabinet,filing cabinet,0.595238095,0.641025641,0,0.02,Furniture,4.642857143,1.952380952,4.21875,4.09375,3.088235294,2.013448892
filmnegative,film,0.358974359,0.368421053,0,0,Electronic device & accessory,3.897435897,2.076923077,4.121212121,4.151515152,1.666666667,2.996147739
filmroll,film,0.435897436,0.459459459,0,0,Electronic device & accessory,4.108108108,2.833333333,3.939393939,3.848484848,2.090909091,2.29009679
fingernail02,Nail,0.452380952,0.5,0.07,0.02,Bodypart,4.12195122,2.214285714,,,2.555555556,1.66862247
fingerprint,finger print,0.928571429,0.928571429,0,0,Bodypart,4.69047619,3.166666667,4.53125,4.65625,3.264705882,0.436824886
firealarm,fire alarm,0.428571429,0.428571429,0,0,Building infrastructure,4.5,1.785714286,,,2.205882353,2.284160435
fireextinguisher01,fire extinguisher,0.564102564,0.666666667,0.05,0.08,Household article & cleaner,3.657894737,2.710526316,3.787878788,4.363636364,2.96969697,1.829015465
firehydrant,Fire hydrant,0.904761905,0.974358974,0,0.05,Building infrastructure,4.595238095,2.214285714,3.96875,2.9375,2.5,0.172036949
fireplace,Fireplace,0.857142857,0.857142857,0,0,Building infrastructure,4.5,2.166666667,3.625,4.125,2.529411765,0.847741529
firstaidkit,lunch box,0.30952381,0.325,0,0.05,Stationary & school supply,4.142857143,1.904761905,,,2.545454545,2.797516051
firtree,Christmas tree,0.333333333,0.333333333,0,0,Natural element,4.642857143,2.952380952,,,2.558823529,2.632027913
fishinghook03,fishing hook,0.384615385,0.5,0.03,0.15,Outdoor activity & sport item,3.236842105,2.526315789,3.4375,3.46875,2.71875,2.686778631
fishingrod,fishing rod,0.666666667,0.717948718,0,0,Outdoor activity & sport item,4.238095238,2.380952381,3.8125,3.84375,3.970588235,0.982191481
fishskeleton,Fish skeleton,0.666666667,0.666666667,0,0,Fish,4.166666667,2.952380952,4.03125,4.09375,1.529411765,1.163139141
flag,flag,0.714285714,0.714285714,0,0,Decoration & gift accessory,4.214285714,1.833333333,2.875,3.4375,2.176470588,1.384552343
flail,Mace,0.142857143,0.25,0.1,0.29,War related weapon & item,3.414634146,2.487804878,,,2.264705882,3.204986856
flamingo,flamingo,0.785714286,0.868421053,0,0,Bird,4.428571429,3.166666667,4.34375,4.0625,1.970588235,0.814637883
flashlight02b,flashlight,0.710526316,0.75,0,0.05,Hand labour tool & accessory,4.282051282,2.615384615,3.878787879,4,3.03030303,1.225713806
flask,flask,0.512820513,0.555555556,0,0.05,Kitchen & utensil,3.552631579,2.973684211,4.03125,3.96875,2.5625,2.470106963
flintlockpistol,gun,0.404761905,0.435897436,0.02,0.05,War related weapon & item,3.642857143,2.833333333,,,3.588235294,2.981520263
flipflop01b,flip flop,0.595238095,0.595238095,0,0,Clothing,4.785714286,1.833333333,3.28125,3.25,2.794117647,1.789563002
floodlight,light,0.19047619,0.285714286,0.14,0.17,Hand labour tool & accessory,3.45,2.761904762,,,1.818181818,3.226474118
flooringstapler,Nail gun,0.047619048,0.2,0.57,0.14,Hand labour tool & accessory,2.135135135,2.925,,,1.703703704,3.121928095
floorlamp,lamp,0.857142857,0.857142857,0,0,Furniture,4.571428571,2.071428571,3.78125,4.21875,3,0.722857898
floortile01,tile,0.763157895,0.90625,0.08,0.08,Building material,3.631578947,2,4.322580645,4.161290323,1.806451613,0.597454723
floortile02,tile,0.595238095,0.609756098,0,0.02,Building material,4.595238095,1.69047619,3.5625,3.875,1.823529412,1.427894572
floppydisk02a,floppy disk,0.289473684,0.297297297,0,0,Electronic device & accessory,4.051282051,2.358974359,4.090909091,3.757575758,2.03030303,2.64600106
flower01,flower,0.761904762,0.864864865,0,0.1,Natural element,3.714285714,2.833333333,2.90625,3.064516129,1.882352941,0.831074987
flowerwreath,wreath,0.261904762,0.323529412,0,0.14,Decoration & gift accessory,3.857142857,2.928571429,,,1.705882353,3.086641775
flugglehorn,trumpet,0.595238095,0.641025641,0,0.02,Musical instrument,4.285714286,2.857142857,4.03125,3.8125,4.235294118,1.715765803
fluorescentlightbulb,light bulb,0.666666667,0.666666667,0,0,Electronic device & accessory,4.714285714,2.261904762,2.75,2.78125,3.029411765,1.913371879
fluorescenttubelight01,fluorescent tube,0.076923077,0.107142857,0.23,0.05,Building material,3.114285714,2.289473684,4.096774194,3.21875,1.65625,4.083616975
flyswatter,fly swatter,0.692307692,0.9,0,0.18,Household article & cleaner,3.756756757,1.921052632,4.40625,4.3125,3.878787879,0.627491844
folder,folder,0.487179487,0.513513514,0,0.05,Stationary & school supply,4.230769231,1.641025641,3.878787879,3.25,1.84375,2.040806129
foldingchair,folding chair,0.523809524,0.523809524,0,0,Furniture,4.761904762,1.880952381,3.055555556,3.388888889,3.441176471,1.134743176
fonduefork01,fondue fork,0.157894737,0.25,0,0.32,Kitchen & utensil,3.157894737,2.105263158,4.53125,4.090909091,2,3.323934896
fonduefuel,Bottle,0.119047619,0.172413793,0.05,0.21,Household article & cleaner,3.547619048,2.19047619,,,1.774193548,4.31971753
foodprocessor,blender,0.378378378,0.4,0,0.03,Kitchen & utensil,3.763157895,3.394736842,3.212121212,3.939393939,2.40625,2.588922749
foosballtable,Foosball Table,0.56097561,0.676470588,0,0.05,Gamestoy & entertainment,4.707317073,2.87804878,4.03125,3.65625,3.735294118,1.188308429
foot,foot,0.69047619,0.69047619,0,0,Bodypart,4.80952381,2.023809524,3.96875,2.1875,3.647058824,1.40927407
football,football,0.976190476,0.976190476,0,0,Outdoor activity & sport item,4.69047619,1.904761905,4.21875,4.125,4.264705882,0.16232618
footballhelmet,football helmet,0.785714286,0.785714286,0,0,Outdoor activity & sport item,4.30952381,2.214285714,4.125,3.6875,3.235294118,0.857436329
footrest02,footrest,0.261904762,0.34375,0.02,0.05,Furniture,4.43902439,2.047619048,,,2.617647059,2.385519116
fork03c,fork,0.972972973,0.972972973,0,0,Kitchen & utensil,4.615384615,2.153846154,4.090909091,4.060606061,3.454545455,0.179256067
fork07b,fork,0.769230769,0.833333333,0,0.08,Kitchen & utensil,4.153846154,1.487179487,3.060606061,3.272727273,3.060606061,0.758359492
forklift,Forklift,0.452380952,0.678571429,0,0.24,Vehicle,4.170731707,3.097560976,,,2.323529412,1.513769288
fortunecookie,fortune cookie,0.952380952,0.975609756,0,0.02,Food,4.642857143,1.761904762,4.625,4.125,2.970588235,0.165427034
fountainpen,pen,0.342105263,0.371428571,0.03,0.03,Stationary & school supply,3.756756757,2.210526316,4.129032258,3.419354839,2.290322581,2.106113057
freezer02,freezer,0.595238095,0.609756098,0.02,0,Kitchen & utensil,4.380952381,1.785714286,3.96875,4,2.424242424,2.145209438
freighttruck,truck,0.5,0.5,0,0,Vehicle,4.595238095,2.904761905,,,2.411764706,2.511518533
frenchfries,fries,0.523809524,0.523809524,0,0,Food,4.928571429,1.952380952,4.03125,3.96875,2.705882353,1.269313955
frenchhorn,French horn,0.357142857,0.454545455,0,0.12,Musical instrument,3.952380952,3.023809524,,,3.588235294,2.177625667
fridge,Fridge,0.714285714,0.714285714,0,0,Kitchen & utensil,4.880952381,1.761904762,4.21875,4.15625,3.323529412,1.160506878
frisbee,Frisbee,0.880952381,0.948717949,0.02,0.05,Outdoor activity & sport item,4.404761905,1.780487805,3.84375,3.875,4.121212121,0.343100308
fryingpan02a,frying pan,0.578947368,0.578947368,0,0,Kitchen & utensil,4.41025641,2.461538462,4.303030303,3.96969697,2.875,1.612105318
funnel,funnel,0.833333333,0.972222222,0,0.05,Kitchen & utensil,4.634146341,1.585365854,4.34375,3.375,2.705882353,0.183122068
fuse,Fuse,0.333333333,0.518518519,0.19,0.1,Electronic device & accessory,3.41025641,2.65,,,2.137931034,2.53052245
fusebox,Fuse box,0.142857143,0.222222222,0.05,0.19,Building infrastructure,4.30952381,1.595238095,,,2,3.633974076
fusilli03a,pasta,0.538461538,0.617647059,0,0.1,Food,4.394736842,2.157894737,2.909090909,3.151515152,1.848484848,2.021619727
gamecontroller01,Game controller,0.238095238,0.25,0,0,Gamestoy & entertainment,4.547619048,2,,,3.558823529,3.369676936
gamepiece,game piece,0.131578947,0.217391304,0.18,0.18,Gamestoy & entertainment,3.058823529,1.735294118,3.206896552,3.6,2.1,3.757925414
garbagebin,Recycling bin,0.428571429,0.428571429,0,0,Household article & cleaner,4.642857143,1.952380952,,,2.794117647,2.461069855
garbagecan02,Garbage can,0.333333333,0.333333333,0,0,Household article & cleaner,4.571428571,1.928571429,,,3.117647059,2.902146436
gardengnome02,Garden gnome,0.357142857,0.384615385,0,0.07,Decoration & gift accessory,4,2.476190476,,,1.470588235,2.191524902
gardenshears01a,cutter,0.078947368,0.142857143,0.11,0.32,Hand labour tool & accessory,3.135135135,2.621621622,,,2.794117647,3.617809684
gardenswing,Garden swing,0.071428571,0.12,0,0.26,Furniture,4.119047619,2.452380952,,,2.558823529,4.10346519
gardenutilityvehicle,tractor,0.119047619,0.178571429,0,0.26,Vehicle,3.571428571,2.952380952,,,2.470588235,4.222907494
garland,Tinsel,0.166666667,0.24137931,0.1,0.1,Decoration & gift accessory,4.047619048,2.243902439,,,1.935483871,3.088913102
garlic01a,garlic,0.871794872,0.871794872,0,0,Food,4.564102564,2.41025641,4.454545455,4.181818182,1.636363636,0.552495114
garlicpress02a,garlic press,0.41025641,0.571428571,0.05,0.18,Kitchen & utensil,3.783783784,2.694444444,3.935483871,3.21875,1.96875,2.06610894
gasburner,burner,0.119047619,0.151515152,0.05,0.1,Kitchen & utensil,4.170731707,2.536585366,,,2.294117647,4.086526226
gastank,Gas jug,0.095238095,0.117647059,0,0.12,Hand labour tool & accessory,4.214285714,1.857142857,,,2.441176471,3.844384532
gavel,Gavel,0.452380952,0.575757576,0,0.12,Hand labour tool & accessory,4.142857143,1.976190476,,,3.617647059,2.189230551
gazebo,Gazebo,0.547619048,0.71875,0.02,0.12,Building infrastructure,3.761904762,2.785714286,2.9375,3.59375,1.5,1.686189844
gearshift,Gear shift,0.285714286,0.315789474,0,0.05,Vehicle,4.285714286,2.380952381,,,3.764705882,3.372027184
gecko,Lizard,0.523809524,0.594594595,0.02,0.07,Reptile,3.523809524,3.30952381,3,3.75,1.382352941,1.855196728
generator,Generator,0.19047619,0.421052632,0.33,0.14,Hand labour tool & accessory,2.974358974,3,,,1.655172414,2.774243303
gift01,Gift,0.476190476,0.476190476,0,0,Decoration & gift accessory,4.714285714,2.404761905,,,3.147058824,1.922280975
giftbag01a,gift bag,0.394736842,0.394736842,0,0,Decoration & gift accessory,4.230769231,1.923076923,3.90625,4.25,1.8125,2.040359844
giftbow02b,bow,0.394736842,0.454545455,0,0.11,Decoration & gift accessory,4.205128205,2.897435897,3.806451613,4.137931034,1.933333333,2.39717453
giftbow04,bow,0.384615385,0.454545455,0,0.08,Decoration & gift accessory,3.842105263,2.105263158,3.71875,3.375,1.75,2.412029833
ginger,ginger,0.815789474,0.885714286,0.03,0.05,Food,3.794871795,2.179487179,3.833333333,3.8,1.4,0.741280571
giraffe,giraffe,1,1,0,0,Mammal,4.428571429,3.119047619,4.46875,4.34375,2.205882353,0
giraffefigurine,Giraffe statue,0.214285714,0.225,0.05,0,Decoration & gift accessory,3.714285714,2.571428571,,,1.529411765,3.452078407
glass02a,plastic cup,0.27027027,0.27027027,0,0,Kitchen & utensil,4.564102564,1.846153846,3.545454545,3.757575758,2.21875,4.853075006
glasses01a,glasses,0.717948718,0.717948718,0,0,Clothing,4.333333333,2.805555556,4.060606061,2.848484848,3.909090909,1.102446762
glassescase,wallet,0.435897436,0.459459459,0,0.03,Clothing,4.263157895,2.527777778,2.848484848,3.454545455,2.787878788,2.671798224
glassmop,mop,0.631578947,0.666666667,0,0.05,Household article & cleaner,4.153846154,2.256410256,4,3.090909091,4.060606061,2.002172223
globe,globe,0.871794872,0.894736842,0,0,Stationary & school supply,4.051282051,3.256410256,4.5625,4.21875,2.193548387,0.695987077
gluestick,glue stick,0.564102564,0.578947368,0,0.03,Stationary & school supply,4.051282051,2.153846154,4.121212121,3.322580645,2.516129032,1.664736897
gluetube,glue,0.307692308,0.375,0.1,0.08,Hand labour tool & accessory,3.194444444,2.27027027,3.121212121,2.96969697,2.393939394,2.892939939
goldnugget,rock,0.341463415,0.424242424,0.17,0.02,Natural element,3.219512195,2.775,,,1.68,1.952514578
golfbag,Golf clubs,0.285714286,0.3,0,0.02,Outdoor activity & sport item,4.142857143,2.928571429,,,3.970588235,2.833852008
golfball,golf ball,0.976190476,0.976190476,0,0,Outdoor activity & sport item,4.571428571,1.642857143,4.375,4.28125,3.676470588,0.16232618
gong,Gong,0.5,0.65625,0.02,0.14,Musical instrument,3.731707317,2.4,,,3.264705882,1.906451457
gorilla,gorilla,0.69047619,0.69047619,0,0,Mammal,4.142857143,2.976190476,3.78125,3.96875,2.323529412,1.44229364
gps,GPS,0.571428571,0.615384615,0,0.07,Electronic device & accessory,4.166666667,2.261904762,3.96875,3.6875,2.735294118,2.239402539
graduationcap,Graduation cap,0.5,0.552631579,0,0.05,Clothing,4.357142857,1.928571429,,,3,1.713916627
grandpiano,Piano,0.547619048,0.547619048,0,0,Musical instrument,4.452380952,3.571428571,4.0625,3.96875,4.647058824,0.993447238
granolabar01,granola bar,0.880952381,0.880952381,0,0,Food,4.738095238,2.619047619,4.15625,3.59375,2.294117647,0.803037077
